RespondentNr,StimulusNr,timestamp ms,Gaze x %,Gaze y %
11,0,14186,0.961,0.763
11,0,14220,0.975,0.751
11,0,14254,0.988,0.746
11,0,14287,1.032,0.743
11,0,14320,1.045,0.736
11,0,14355,1.065,0.726
11,0,14387,1.072,0.721
11,0,14421,1.072,0.724
11,0,14454,1.076,0.727
11,0,14487,1.079,0.732
11,0,14521,1.086,0.739
11,0,14553,1.091,0.747
11,0,14587,1.096,0.755
11,0,14654,1.098,0.777
11,0,14687,1.097,0.782
11,0,14721,1.096,0.791
11,0,14753,1.091,0.803
11,0,14786,1.099,0.816
11,0,14920,1.095,0.861
11,0,14954,1.094,0.871
11,0,14987,1.09,0.878
11,0,15020,1.083,0.88
11,0,15054,1.084,0.869
11,0,15086,1.094,0.853
11,0,15120,1.096,0.827
11,0,15154,1.094,0.818
11,0,15187,1.094,0.803
11,0,15754,1.073,0.567
11,0,15788,1.06,0.552
11,0,15820,1.052,0.54
11,0,15853,1.047,0.529
11,0,15886,1.041,0.521
11,0,15920,1.035,0.514
11,0,15953,1.032,0.513
11,0,15988,1.019,0.505
11,0,16020,0.991,0.488
11,0,16054,0.974,0.489
11,0,16087,0.947,0.492
11,0,16121,0.886,0.517
11,0,16153,0.835,0.539
11,0,16187,0.816,0.549
11,0,16220,0.788,0.564
11,0,16254,0.78,0.564
11,0,16287,0.778,0.56
11,0,16320,0.772,0.556
11,0,16354,0.766,0.554
11,0,16387,0.765,0.547
11,0,16421,0.764,0.546
11,0,16453,0.758,0.547
11,0,16488,0.763,0.551
11,0,16519,0.768,0.549
11,0,16554,0.784,0.55
11,0,16587,0.797,0.557
11,0,16620,0.901,0.577
11,0,16655,0.92,0.582
11,0,16687,0.965,0.598
11,0,16721,1.001,0.611
11,0,16753,1.018,0.616
11,0,16786,1.027,0.622
11,0,16821,1.031,0.623
11,0,16853,1.04,0.629
11,0,16888,1.038,0.625
11,0,16920,1.032,0.61
11,0,16954,1.026,0.601
11,0,16987,1.019,0.568
11,0,17021,1.016,0.563
11,0,17053,1.013,0.549
11,0,17087,1.011,0.537
11,0,17120,1.008,0.525
11,0,17154,0.988,0.467
11,0,17188,0.981,0.464
11,0,17220,0.975,0.46
11,0,17254,0.951,0.453
11,0,17287,0.805,0.456
11,0,17320,0.672,0.463
11,0,17355,0.574,0.472
11,0,17403,0.54,0.467
11,0,17436,0.483,0.464
11,0,17470,0.456,0.458
11,0,17503,0.45,0.449
11,0,17536,0.466,0.427
11,0,17569,0.468,0.414
11,0,17603,0.472,0.409
11,0,17637,0.48,0.409
11,0,17669,0.49,0.41
11,0,17703,0.488,0.411
11,0,17736,0.481,0.409
11,0,17770,0.489,0.408
11,0,17803,0.49,0.411
11,0,17836,0.481,0.412
11,0,17870,0.474,0.409
11,0,17903,0.47,0.407
11,0,17937,0.473,0.409
11,0,17970,0.469,0.412
11,0,18003,0.467,0.412
11,0,18036,0.48,0.407
11,0,18070,0.489,0.407
11,0,18103,0.492,0.42
11,0,18136,0.445,0.466
11,0,18170,0.323,0.583
11,0,18203,0.298,0.568
11,0,18237,0.285,0.561
11,0,18270,0.268,0.552
11,0,18303,0.263,0.564
11,0,18336,0.265,0.554
